číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_en,číselník_položka_nadřazená
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10511,10511,Environmental sciences (social aspects to be 5.7),https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10500
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10601,10601,Cell biology,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10600
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10602,10602,"Biology (theoretical, mathematical, thermal, cryobiology, biological rhythm), Evolutionary biology",https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10600
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10603,10603,Genetics and heredity (medical genetics to be 3),https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10600
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10604,10604,Reproductive biology (medical aspects to be 3),https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10600
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10605,10605,Developmental biology,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10600
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10606,10606,Microbiology,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10600
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10607,10607,Virology,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10600
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10608,10608,Biochemistry and molecular biology,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10600
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10609,10609,Biochemical research methods,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10600
